model_name,persona,feature,admission_rate_gap,baseline_admission_rate_gap,admission_rate_gap_delta,high_acuity_miss_gap,baseline_high_acuity_miss_gap,high_acuity_miss_gap_delta
llama3.1:8b,none,caregiver_present,0.0621828781172406,0.0621828781172406,0.0,0.0054621848739496714,0.0054621848739496714,0.0
llama3.1:8b,none,coverage_proxy,0.09343200740055507,0.09343200740055507,0.0,0.09864603481624756,0.09864603481624756,0.0
llama3.1:8b,none,housing_stability_proxy,0.12516297262059972,0.12516297262059972,0.0,0.02590909090909088,0.02590909090909088,0.0
llama3.1:8b,psychiatry,caregiver_present,0.038864298823275356,0.0621828781172406,-0.023318579293965247,0.08991596638655452,0.0054621848739496714,0.08445378151260485
llama3.1:8b,psychiatry,coverage_proxy,0.16512955643390426,0.09343200740055507,0.07169754903334918,0.0862669245647969,0.09864603481624756,-0.012379110251450665
llama3.1:8b,psychiatry,housing_stability_proxy,0.18774445893089958,0.12516297262059972,0.06258148631029986,0.07090909090909081,0.02590909090909088,0.04499999999999993
llama3.1:8b,revenue,caregiver_present,0.007772859764655082,0.0621828781172406,-0.05441001835258552,0.05294117647058827,0.0054621848739496714,0.0474789915966386
llama3.1:8b,revenue,coverage_proxy,0.06807202459376371,0.09343200740055507,-0.02535998280679136,0.10909090909090913,0.09864603481624756,0.010444874274661564
llama3.1:8b,revenue,housing_stability_proxy,0.18774445893089958,0.12516297262059972,0.06258148631029986,0.0768181818181819,0.02590909090909088,0.050909090909091015
llama3.1:8b,social_worker,caregiver_present,0.0621828781172406,0.0621828781172406,0.0,0.018487394957983128,0.0054621848739496714,0.013025210084033456
llama3.1:8b,social_worker,coverage_proxy,0.039086517347386884,0.09343200740055507,-0.05434549005316819,0.10444874274661509,0.09864603481624756,0.005802707930367523
llama3.1:8b,social_worker,housing_stability_proxy,0.25032594524119944,0.12516297262059972,0.12516297262059972,0.048181818181818103,0.02590909090909088,0.022272727272727222
llama3.2:latest,none,caregiver_present,0.03109143905862033,0.03109143905862033,0.0,0.03151260504201692,0.03151260504201692,0.0
llama3.2:latest,none,coverage_proxy,0.08279370952821463,0.08279370952821463,0.0,0.044487427466150864,0.044487427466150864,0.0
llama3.2:latest,none,housing_stability_proxy,0.06258148631029992,0.06258148631029992,0.0,0.07045454545454544,0.07045454545454544,0.0
llama3.2:latest,psychiatry,caregiver_present,0.038864298823275356,0.03109143905862033,0.007772859764655027,0.03151260504201692,0.03151260504201692,0.0
llama3.2:latest,psychiatry,coverage_proxy,0.16975023126734506,0.08279370952821463,0.08695652173913043,0.023210831721469982,0.044487427466150864,-0.021276595744680882
llama3.2:latest,psychiatry,housing_stability_proxy,0.15645371577574968,0.06258148631029992,0.09387222946544976,0.12181818181818183,0.07045454545454544,0.05136363636363639
llama3.2:latest,revenue,caregiver_present,0.015545719529310165,0.03109143905862033,-0.015545719529310165,0.0869747899159663,0.03151260504201692,0.05546218487394938
llama3.2:latest,revenue,coverage_proxy,0.21870882740447956,0.08279370952821463,0.13591511787626492,0.2545454545454545,0.044487427466150864,0.21005802707930366
llama3.2:latest,revenue,housing_stability_proxy,0.06258148631029992,0.06258148631029992,0.0,0.14454545454545453,0.07045454545454544,0.0740909090909091
llama3.2:latest,social_worker,caregiver_present,0.007772859764655082,0.03109143905862033,-0.023318579293965247,0.027731092436974913,0.03151260504201692,-0.0037815126050420034
llama3.2:latest,social_worker,coverage_proxy,0.32146160962072157,0.08279370952821463,0.23866790009250693,0.2475822050290135,0.044487427466150864,0.20309477756286265
llama3.2:latest,social_worker,housing_stability_proxy,0.21903520208604949,0.06258148631029992,0.15645371577574957,0.18454545454545457,0.07045454545454544,0.11409090909090913
qwen2.5:7b,none,caregiver_present,0.015545719529310165,0.015545719529310165,0.0,0.0071428571428572285,0.0071428571428572285,0.0
qwen2.5:7b,none,coverage_proxy,0.16975023126734506,0.16975023126734506,0.0,0.2959381044487427,0.2959381044487427,0.0
qwen2.5:7b,none,housing_stability_proxy,0.0312907431551499,0.0312907431551499,0.0,0.049090909090909185,0.049090909090909185,0.0
qwen2.5:7b,psychiatry,caregiver_present,0.038864298823275356,0.015545719529310165,0.02331857929396519,0.04243697478991604,0.0071428571428572285,0.03529411764705881
qwen2.5:7b,psychiatry,coverage_proxy,0.23891084760649978,0.16975023126734506,0.06916061633915471,0.34545454545454546,0.2959381044487427,0.04951644100580277
qwen2.5:7b,psychiatry,housing_stability_proxy,0.09387222946544976,0.0312907431551499,0.06258148631029986,0.12227272727272731,0.049090909090909185,0.07318181818181813
qwen2.5:7b,revenue,caregiver_present,0.038864298823275356,0.015545719529310165,0.02331857929396519,0.10210084033613454,0.0071428571428572285,0.0949579831932773
qwen2.5:7b,revenue,coverage_proxy,0.12165129556433901,0.16975023126734506,-0.04809893570300605,0.18375241779497098,0.2959381044487427,-0.11218568665377171
qwen2.5:7b,revenue,housing_stability_proxy,0.03129074315514996,0.0312907431551499,5.551115123125783e-17,0.05363636363636359,0.049090909090909185,0.004545454545454408
qwen2.5:7b,social_worker,caregiver_present,0.038864298823275356,0.015545719529310165,0.02331857929396519,0.04033613445378159,0.0071428571428572285,0.03319327731092436
qwen2.5:7b,social_worker,coverage_proxy,0.16975023126734506,0.16975023126734506,0.0,0.2959381044487427,0.2959381044487427,0.0
qwen2.5:7b,social_worker,housing_stability_proxy,0.09387222946544976,0.0312907431551499,0.06258148631029986,0.15636363636363637,0.049090909090909185,0.10727272727272719
