model,task,condition_id,persona,property,n,topk_mean_delta_mean,topk_mean_delta_std,positional_mean_delta_mean,positional_mean_delta_std,rank_shift_property_corr_mean,rank_shift_property_corr_std
llama3.1:8b,generated_dataset,psychiatry,concerned psychiatrist,age_norm,50,0.014204,0.117941,0.013487,0.036479,0.157061,0.391617
llama3.1:8b,generated_dataset,psychiatry,concerned psychiatrist,caregiver_absent_norm,50,-0.025,0.153613,-0.014545,0.052336,-0.097962,0.310758
llama3.1:8b,generated_dataset,psychiatry,concerned psychiatrist,caregiver_support_norm,50,0.025,0.153613,0.014545,0.052336,0.097962,0.310758
llama3.1:8b,generated_dataset,psychiatry,concerned psychiatrist,clinical_need_proxy,50,0.002546,0.022717,0.000234,0.006417,0.033777,0.373799
llama3.1:8b,generated_dataset,psychiatry,concerned psychiatrist,cost_usd_norm,50,-0.019334,0.108347,-0.003418,0.037113,-0.035533,0.352141
llama3.1:8b,generated_dataset,psychiatry,concerned psychiatrist,financial_pressure_proxy,50,-0.019334,0.108347,-0.003418,0.037113,-0.035533,0.352141
llama3.1:8b,generated_dataset,psychiatry,concerned psychiatrist,psych_norm,50,0.01125,0.142124,-0.002364,0.043842,-0.019145,0.388369
llama3.1:8b,generated_dataset,psychiatry,concerned psychiatrist,psychiatric_need_proxy,50,0.01125,0.142124,-0.002364,0.043842,-0.019145,0.388369
llama3.1:8b,generated_dataset,psychiatry,concerned psychiatrist,resource_intensity_proxy,50,-0.017142,0.096596,-0.002494,0.033763,-0.026347,0.313676
llama3.1:8b,generated_dataset,psychiatry,concerned psychiatrist,support_need_proxy,50,-0.008216,0.107701,-0.006,0.034419,-0.062196,0.332592
llama3.1:8b,generated_dataset,psychiatry,concerned psychiatrist,trauma_norm,50,-0.0075,0.11126,0.002318,0.035895,0.025013,0.344238
llama3.1:8b,generated_dataset,psychiatry,concerned psychiatrist,treatment_hours_norm,50,-0.017142,0.096596,-0.002494,0.033763,-0.026347,0.313676
llama3.1:8b,generated_dataset,psychiatry,concerned psychiatrist,wait_hours_norm,50,0.008572,0.12571,0.002546,0.03407,0.031179,0.298114
llama3.1:8b,generated_dataset,revenue,Revenue officer,age_norm,50,0.015796,0.090789,0.011603,0.030663,0.105522,0.344316
llama3.1:8b,generated_dataset,revenue,Revenue officer,caregiver_absent_norm,50,-0.015,0.137488,-0.003273,0.057694,-0.031121,0.32753
llama3.1:8b,generated_dataset,revenue,Revenue officer,caregiver_support_norm,50,0.015,0.137488,0.003273,0.057694,0.031121,0.32753
llama3.1:8b,generated_dataset,revenue,Revenue officer,clinical_need_proxy,50,-0.002509,0.017926,-0.000548,0.004597,-0.022146,0.326879
llama3.1:8b,generated_dataset,revenue,Revenue officer,cost_usd_norm,50,-0.005332,0.090067,-0.004581,0.035559,-0.047893,0.344504
llama3.1:8b,generated_dataset,revenue,Revenue officer,financial_pressure_proxy,50,-0.005332,0.090067,-0.004581,0.035559,-0.047893,0.344504
llama3.1:8b,generated_dataset,revenue,Revenue officer,psych_norm,50,-0.0175,0.101441,-0.007909,0.032569,-0.090494,0.327046
llama3.1:8b,generated_dataset,revenue,Revenue officer,psychiatric_need_proxy,50,-0.0175,0.101441,-0.007909,0.032569,-0.090494,0.327046
llama3.1:8b,generated_dataset,revenue,Revenue officer,resource_intensity_proxy,50,-0.006429,0.078935,-0.004001,0.032521,-0.036409,0.313795
llama3.1:8b,generated_dataset,revenue,Revenue officer,support_need_proxy,50,-0.000356,0.102706,-0.00039,0.038811,-0.018307,0.342446
llama3.1:8b,generated_dataset,revenue,Revenue officer,trauma_norm,50,0.00875,0.080119,0.006136,0.029171,0.085223,0.292402
llama3.1:8b,generated_dataset,revenue,Revenue officer,treatment_hours_norm,50,-0.006429,0.078935,-0.004001,0.032521,-0.036409,0.313795
llama3.1:8b,generated_dataset,revenue,Revenue officer,wait_hours_norm,50,0.014285,0.117232,0.002494,0.035134,0.012534,0.307543
llama3.1:8b,generated_dataset,social_worker,Social worker,age_norm,50,0.00875,0.100585,0.005322,0.034429,0.04701,0.379857
llama3.1:8b,generated_dataset,social_worker,Social worker,caregiver_absent_norm,50,-0.015,0.127875,-0.005455,0.047929,-0.031134,0.336448
llama3.1:8b,generated_dataset,social_worker,Social worker,caregiver_support_norm,50,0.015,0.127875,0.005455,0.047929,0.031134,0.336448
llama3.1:8b,generated_dataset,social_worker,Social worker,clinical_need_proxy,50,3.8e-05,0.014875,0.000358,0.004657,0.032022,0.345361
llama3.1:8b,generated_dataset,social_worker,Social worker,cost_usd_norm,50,-0.001,0.110935,-0.002254,0.033497,-0.028114,0.333845
llama3.1:8b,generated_dataset,social_worker,Social worker,financial_pressure_proxy,50,-0.001,0.110935,-0.002254,0.033497,-0.028114,0.333845
llama3.1:8b,generated_dataset,social_worker,Social worker,psych_norm,50,0.006875,0.094552,0.002773,0.036199,0.02176,0.388011
llama3.1:8b,generated_dataset,social_worker,Social worker,psychiatric_need_proxy,50,0.006875,0.094552,0.002773,0.036199,0.02176,0.388011
llama3.1:8b,generated_dataset,social_worker,Social worker,resource_intensity_proxy,50,-0.000714,0.095852,-0.00187,0.029665,-0.023146,0.30539
llama3.1:8b,generated_dataset,social_worker,Social worker,support_need_proxy,50,0.00393,0.093683,0.000286,0.032642,-0.005393,0.3415
llama3.1:8b,generated_dataset,social_worker,Social worker,trauma_norm,50,-0.011875,0.08677,-0.003318,0.034041,-0.020386,0.358433
llama3.1:8b,generated_dataset,social_worker,Social worker,treatment_hours_norm,50,-0.000714,0.095852,-0.00187,0.029665,-0.023146,0.30539
llama3.1:8b,generated_dataset,social_worker,Social worker,wait_hours_norm,50,0.022857,0.113798,0.006026,0.038537,0.035933,0.344585
llama3.2:3b,generated_dataset,psychiatry,concerned psychiatrist,age_norm,45,0.008965,0.168119,-0.003673,0.066891,-0.025111,0.339404
llama3.2:3b,generated_dataset,psychiatry,concerned psychiatrist,caregiver_absent_norm,45,0.0,0.276956,0.008889,0.110298,0.027404,0.346017
llama3.2:3b,generated_dataset,psychiatry,concerned psychiatrist,caregiver_support_norm,45,0.0,0.276956,-0.008889,0.110298,-0.027404,0.346017
llama3.2:3b,generated_dataset,psychiatry,concerned psychiatrist,clinical_need_proxy,45,0.002476,0.024422,0.000314,0.010308,0.010825,0.331667
llama3.2:3b,generated_dataset,psychiatry,concerned psychiatrist,cost_usd_norm,45,-0.020372,0.182333,-0.003583,0.085238,-0.022978,0.402538
llama3.2:3b,generated_dataset,psychiatry,concerned psychiatrist,financial_pressure_proxy,45,-0.020372,0.182333,-0.003583,0.085238,-0.022978,0.402538
llama3.2:3b,generated_dataset,psychiatry,concerned psychiatrist,psych_norm,45,0.004861,0.121206,0.003434,0.058511,0.01304,0.283142
llama3.2:3b,generated_dataset,psychiatry,concerned psychiatrist,psychiatric_need_proxy,45,0.004861,0.121206,0.003434,0.058511,0.01304,0.283142
llama3.2:3b,generated_dataset,psychiatry,concerned psychiatrist,resource_intensity_proxy,45,-0.011109,0.168165,-0.001615,0.079074,-0.011949,0.373089
llama3.2:3b,generated_dataset,psychiatry,concerned psychiatrist,support_need_proxy,45,-0.031353,0.188834,-0.00534,0.070201,-0.031487,0.372034
llama3.2:3b,generated_dataset,psychiatry,concerned psychiatrist,trauma_norm,45,0.014583,0.121324,0.001616,0.054307,0.014115,0.267634
llama3.2:3b,generated_dataset,psychiatry,concerned psychiatrist,treatment_hours_norm,45,-0.011109,0.168165,-0.001615,0.079074,-0.011949,0.373089
llama3.2:3b,generated_dataset,psychiatry,concerned psychiatrist,wait_hours_norm,45,-0.062696,0.190522,-0.019567,0.066751,-0.097185,0.337046
llama3.2:3b,generated_dataset,revenue,Revenue officer,age_norm,47,-0.030707,0.154746,-0.006612,0.06304,-0.006531,0.359006
llama3.2:3b,generated_dataset,revenue,Revenue officer,caregiver_absent_norm,47,0.0,0.233126,-0.000774,0.102359,-0.02542,0.314329
llama3.2:3b,generated_dataset,revenue,Revenue officer,caregiver_support_norm,47,0.0,0.233126,0.000774,0.102359,0.02542,0.314329
llama3.2:3b,generated_dataset,revenue,Revenue officer,clinical_need_proxy,47,0.006464,0.020022,0.001586,0.00879,0.057838,0.311054
llama3.2:3b,generated_dataset,revenue,Revenue officer,cost_usd_norm,47,-0.015252,0.179031,-0.006861,0.083405,-0.043273,0.405473
llama3.2:3b,generated_dataset,revenue,Revenue officer,financial_pressure_proxy,47,-0.015252,0.179031,-0.006861,0.083405,-0.043273,0.405473
llama3.2:3b,generated_dataset,revenue,Revenue officer,psych_norm,47,0.037234,0.128787,0.01001,0.060007,0.046487,0.3095
llama3.2:3b,generated_dataset,revenue,Revenue officer,psychiatric_need_proxy,47,0.037234,0.128787,0.01001,0.060007,0.046487,0.3095
llama3.2:3b,generated_dataset,revenue,Revenue officer,resource_intensity_proxy,47,-0.013676,0.17834,-0.006189,0.082426,-0.038978,0.405567
llama3.2:3b,generated_dataset,revenue,Revenue officer,support_need_proxy,47,-0.01406,0.148745,-0.004753,0.065703,-0.03668,0.307114
llama3.2:3b,generated_dataset,revenue,Revenue officer,trauma_norm,47,-0.016622,0.122919,-0.004545,0.056968,-0.021215,0.291391
llama3.2:3b,generated_dataset,revenue,Revenue officer,treatment_hours_norm,47,-0.013676,0.17834,-0.006189,0.082426,-0.038978,0.405567
llama3.2:3b,generated_dataset,revenue,Revenue officer,wait_hours_norm,47,-0.028113,0.180561,-0.008731,0.06585,-0.029078,0.340001
llama3.2:3b,generated_dataset,social_worker,Social worker,age_norm,42,-0.021645,0.198752,-0.014354,0.068104,-0.102964,0.347867
llama3.2:3b,generated_dataset,social_worker,Social worker,caregiver_absent_norm,42,0.035714,0.300261,0.018182,0.131847,0.055047,0.389977
llama3.2:3b,generated_dataset,social_worker,Social worker,caregiver_support_norm,42,-0.035714,0.300261,-0.018182,0.131847,-0.055047,0.389977
llama3.2:3b,generated_dataset,social_worker,Social worker,clinical_need_proxy,42,-0.00017,0.019573,-0.001442,0.007758,-0.03342,0.261762
llama3.2:3b,generated_dataset,social_worker,Social worker,cost_usd_norm,42,-0.011511,0.198213,-0.01091,0.086787,-0.063225,0.396834
llama3.2:3b,generated_dataset,social_worker,Social worker,financial_pressure_proxy,42,-0.011511,0.198213,-0.01091,0.086787,-0.063225,0.396834
llama3.2:3b,generated_dataset,social_worker,Social worker,psych_norm,42,0.025298,0.152194,0.008387,0.048702,0.050867,0.245141
llama3.2:3b,generated_dataset,social_worker,Social worker,psychiatric_need_proxy,42,0.025298,0.152194,0.008387,0.048702,0.050867,0.245141
llama3.2:3b,generated_dataset,social_worker,Social worker,resource_intensity_proxy,42,-0.015306,0.188176,-0.013543,0.085163,-0.077946,0.379155
llama3.2:3b,generated_dataset,social_worker,Social worker,support_need_proxy,42,0.017005,0.192199,0.007359,0.081239,0.040064,0.395201
llama3.2:3b,generated_dataset,social_worker,Social worker,trauma_norm,42,-0.025298,0.147586,-0.010822,0.053084,-0.064356,0.277825
llama3.2:3b,generated_dataset,social_worker,Social worker,treatment_hours_norm,42,-0.015306,0.188176,-0.013543,0.085163,-0.077946,0.379155
llama3.2:3b,generated_dataset,social_worker,Social worker,wait_hours_norm,42,-0.001701,0.179512,-0.003464,0.068768,-0.008254,0.316868
qwen2.5:7b,generated_dataset,psychiatry,concerned psychiatrist,age_norm,50,-0.011022,0.085827,-0.00571,0.037087,-0.004468,0.363429
qwen2.5:7b,generated_dataset,psychiatry,concerned psychiatrist,caregiver_absent_norm,50,-0.025,0.169408,0.0,0.044687,0.009374,0.333993
qwen2.5:7b,generated_dataset,psychiatry,concerned psychiatrist,caregiver_support_norm,50,0.025,0.169408,-0.0,0.044687,-0.009374,0.333993
qwen2.5:7b,generated_dataset,psychiatry,concerned psychiatrist,clinical_need_proxy,50,0.001922,0.018215,-0.001274,0.00689,-0.088277,0.429922
qwen2.5:7b,generated_dataset,psychiatry,concerned psychiatrist,cost_usd_norm,50,0.032001,0.089715,0.00691,0.032622,0.025576,0.259203
qwen2.5:7b,generated_dataset,psychiatry,concerned psychiatrist,financial_pressure_proxy,50,0.032001,0.089715,0.00691,0.032622,0.025576,0.259203
qwen2.5:7b,generated_dataset,psychiatry,concerned psychiatrist,psych_norm,50,0.01625,0.09806,-0.003818,0.037669,-0.048128,0.350387
qwen2.5:7b,generated_dataset,psychiatry,concerned psychiatrist,psychiatric_need_proxy,50,0.01625,0.09806,-0.003818,0.037669,-0.048128,0.350387
qwen2.5:7b,generated_dataset,psychiatry,concerned psychiatrist,resource_intensity_proxy,50,0.03,0.080784,0.006234,0.029259,0.018411,0.237251
qwen2.5:7b,generated_dataset,psychiatry,concerned psychiatrist,support_need_proxy,50,-0.026786,0.107457,-0.001662,0.032048,0.031869,0.334801
qwen2.5:7b,generated_dataset,psychiatry,concerned psychiatrist,trauma_norm,50,-0.005625,0.073271,0.001727,0.030048,0.008176,0.286612
qwen2.5:7b,generated_dataset,psychiatry,concerned psychiatrist,treatment_hours_norm,50,0.03,0.080784,0.006234,0.029259,0.018411,0.237251
qwen2.5:7b,generated_dataset,psychiatry,concerned psychiatrist,wait_hours_norm,50,-0.02857,0.117675,-0.003325,0.041359,0.043915,0.340018
qwen2.5:7b,generated_dataset,revenue,Revenue officer,age_norm,50,-0.000114,0.086904,0.001843,0.031368,0.027763,0.367342
qwen2.5:7b,generated_dataset,revenue,Revenue officer,caregiver_absent_norm,50,-0.025,0.169408,-0.016,0.051641,-0.070513,0.343623
qwen2.5:7b,generated_dataset,revenue,Revenue officer,caregiver_support_norm,50,0.025,0.169408,0.016,0.051641,0.070513,0.343623
qwen2.5:7b,generated_dataset,revenue,Revenue officer,clinical_need_proxy,50,0.000354,0.01713,-0.000843,0.006727,-0.070158,0.414041
qwen2.5:7b,generated_dataset,revenue,Revenue officer,cost_usd_norm,50,0.008334,0.089613,0.002619,0.031831,0.008908,0.270566
qwen2.5:7b,generated_dataset,revenue,Revenue officer,financial_pressure_proxy,50,0.008334,0.089613,0.002619,0.031831,0.008908,0.270566
qwen2.5:7b,generated_dataset,revenue,Revenue officer,psych_norm,50,-0.0075,0.09628,-0.007727,0.041215,-0.088646,0.367632
qwen2.5:7b,generated_dataset,revenue,Revenue officer,psychiatric_need_proxy,50,-0.0075,0.09628,-0.007727,0.041215,-0.088646,0.367632
qwen2.5:7b,generated_dataset,revenue,Revenue officer,resource_intensity_proxy,50,0.01143,0.080486,0.002961,0.029437,0.007418,0.25234
qwen2.5:7b,generated_dataset,revenue,Revenue officer,support_need_proxy,50,-0.033216,0.12461,-0.01374,0.040114,-0.094717,0.365619
qwen2.5:7b,generated_dataset,revenue,Revenue officer,trauma_norm,50,0.0175,0.07965,0.008409,0.0356,0.085655,0.309439
qwen2.5:7b,generated_dataset,revenue,Revenue officer,treatment_hours_norm,50,0.01143,0.080486,0.002961,0.029437,0.007418,0.25234
qwen2.5:7b,generated_dataset,revenue,Revenue officer,wait_hours_norm,50,-0.041427,0.11209,-0.01148,0.041723,-0.067978,0.301044
qwen2.5:7b,generated_dataset,social_worker,Social worker,age_norm,50,-0.031478,0.069741,-0.014537,0.031506,-0.126271,0.348396
qwen2.5:7b,generated_dataset,social_worker,Social worker,caregiver_absent_norm,50,0.02,0.158436,0.012727,0.045473,0.140744,0.279393
qwen2.5:7b,generated_dataset,social_worker,Social worker,caregiver_support_norm,50,-0.02,0.158436,-0.012727,0.045473,-0.140744,0.279393
qwen2.5:7b,generated_dataset,social_worker,Social worker,clinical_need_proxy,50,-0.000586,0.015525,-0.001862,0.006942,-0.152995,0.411186
qwen2.5:7b,generated_dataset,social_worker,Social worker,cost_usd_norm,50,0.025999,0.102475,0.011006,0.034961,0.076896,0.262656
qwen2.5:7b,generated_dataset,social_worker,Social worker,financial_pressure_proxy,50,0.025999,0.102475,0.011006,0.034961,0.076896,0.262656
qwen2.5:7b,generated_dataset,social_worker,Social worker,psych_norm,50,0.00375,0.091194,-0.003182,0.043164,-0.048625,0.373665
qwen2.5:7b,generated_dataset,social_worker,Social worker,psychiatric_need_proxy,50,0.00375,0.091194,-0.003182,0.043164,-0.048625,0.373665
qwen2.5:7b,generated_dataset,social_worker,Social worker,resource_intensity_proxy,50,0.027144,0.092274,0.010442,0.031674,0.066524,0.243342
qwen2.5:7b,generated_dataset,social_worker,Social worker,support_need_proxy,50,0.002857,0.10891,0.004832,0.039299,0.131464,0.331754
qwen2.5:7b,generated_dataset,social_worker,Social worker,trauma_norm,50,-0.001875,0.076913,-0.000273,0.037117,-0.011831,0.311923
qwen2.5:7b,generated_dataset,social_worker,Social worker,treatment_hours_norm,50,0.027144,0.092274,0.010442,0.031674,0.066524,0.243342
qwen2.5:7b,generated_dataset,social_worker,Social worker,wait_hours_norm,50,-0.014287,0.115668,-0.003066,0.047427,0.031409,0.355642
